admin1,admin2,admin3,location,latitude,longitude,event_date,year,month,casualties,num_events,min_distance_to_battlefront,hazard_score,pca_hazard_score,hazard_score_tsne
Chernihiv,Nizhynskyi,Bakhmatska,Ukrainske,51.1729,32.6668,2023-03-23,2023,3,0,1,421.9754127610388,30.0,22.63867582521499,11.860307
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Buchky,52.3063,33.1137,2023-01-01,2023,1,0,1,488.86373273025356,30.0,23.056938566489826,10.050651
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Buchky,52.3063,33.1137,2023-01-09,2023,1,0,1,488.86373273025356,30.0,23.056938566489826,10.050651
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Buchky,52.3063,33.1137,2023-01-18,2023,1,0,1,488.86373273025356,30.0,23.056938566489826,10.050651
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Buchky,52.3063,33.1137,2023-01-19,2023,1,0,1,488.86373273025356,30.0,23.056938566489826,10.050651
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Buchky,52.3063,33.1137,2023-01-23,2023,1,0,1,488.86373273025356,30.0,23.056938566489826,10.050651
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Buchky,52.3063,33.1137,2023-01-24,2023,1,0,1,488.86373273025356,30.0,23.056938566489826,10.050651
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Buchky,52.3063,33.1137,2023-04-28,2023,4,0,1,488.86373273025356,30.0,23.056938566489826,10.050651
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Buda-Vorobivska,52.2457,33.0549,2023-04-26,2023,4,0,1,486.11390176263143,30.0,23.039743459196213,10.360138
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Gremyach,52.3344,33.2886,2023-01-03,2023,1,0,1,484.09130215326735,30.0,23.027095839140824,10.5437565
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Gremyach,52.3344,33.2886,2023-01-04,2023,1,0,1,484.09130215326735,30.0,23.027095839140824,10.544568
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Gremyach,52.3344,33.2886,2023-01-08,2023,1,0,1,484.09130215326735,30.0,23.027095839140824,10.5437565
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Gremyach,52.3344,33.2886,2023-02-02,2023,2,0,1,484.09130215326735,30.0,23.027095839140824,10.544568
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Gremyach,52.3344,33.2886,2023-02-03,2023,2,0,1,484.09130215326735,30.0,23.027095839140824,10.544568
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Gremyach,52.3344,33.2886,2023-03-02,2023,3,0,1,484.09130215326735,30.0,23.027095839140824,10.544568
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Gremyach,52.3344,33.2886,2023-04-06,2023,4,0,1,484.09130215326735,30.0,23.027095839140824,10.544568
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Gremyach,52.3344,33.2886,2023-04-07,2023,4,0,1,484.09130215326735,30.0,23.027095839140824,10.544568
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Gremyach,52.3344,33.2886,2023-04-08,2023,4,0,1,484.09130215326735,30.0,23.027095839140824,10.544568
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Gremyach,52.3344,33.2886,2023-04-09,2023,4,0,1,484.09130215326735,30.0,23.027095839140824,10.5437565
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Gremyach,52.3344,33.2886,2023-04-10,2023,4,0,1,484.09130215326735,30.0,23.027095839140824,10.544568
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Gremyach,52.3344,33.2886,2023-04-11,2023,4,0,1,484.09130215326735,30.0,23.027095839140824,10.544568
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Gremyach,52.3344,33.2886,2023-04-18,2023,4,0,1,484.09130215326735,30.0,23.027095839140824,10.544568
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Gremyach,52.3344,33.2886,2023-04-20,2023,4,0,1,484.09130215326735,30.0,23.027095839140824,10.544568
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Gremyach,52.3344,33.2886,2023-04-21,2023,4,0,1,484.09130215326735,30.0,23.027095839140824,10.544568
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Gremyach,52.3344,33.2886,2023-04-23,2023,4,0,1,484.09130215326735,30.0,23.027095839140824,10.544568
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Gremyach,52.3344,33.2886,2023-04-24,2023,4,0,1,484.09130215326735,30.0,23.027095839140824,10.544568
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Gremyach,52.3344,33.2886,2023-04-26,2023,4,0,1,484.09130215326735,30.0,23.027095839140824,10.544568
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Gremyach,52.3344,33.2886,2023-04-27,2023,4,0,1,484.09130215326735,30.0,23.027095839140824,10.544568
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Gremyach,52.3344,33.2886,2023-04-28,2023,4,0,1,484.09130215326735,30.0,23.027095839140824,10.54376
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Hai,52.3039,33.2837,2023-01-28,2023,1,0,1,481.5822373013282,30.0,23.011406278639207,10.80062
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Hai,52.3039,33.2837,2023-02-08,2023,2,0,1,481.5822373013282,30.0,23.011406278639207,10.802752
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Hai,52.3039,33.2837,2023-02-09,2023,2,0,1,481.5822373013282,30.0,23.011406278639207,10.800669
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Hai,52.3039,33.2837,2023-03-10,2023,3,0,1,481.5822373013282,30.0,23.011406278639207,10.800669
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Horodyshche,52.3204,33.1191,2023-02-25,2023,2,0,1,489.86813224797106,30.0,23.063219227983623,9.493511
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Horodyshche,52.3204,33.1191,2023-03-23,2023,3,0,1,489.86813224797106,30.0,23.063219227983623,9.493511
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Horodyshche,52.3204,33.1191,2023-03-24,2023,3,0,1,489.86813224797106,30.0,23.063219227983623,9.493511
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Horodyshche,52.3204,33.1191,2023-03-25,2023,3,0,1,489.86813224797106,30.0,23.063219227983623,9.493511
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Kamianska Sloboda,52.264,33.289,2023-01-04,2023,1,0,1,477.8326270069865,30.0,22.987959400602122,12.164097
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Kamianska Sloboda,52.264,33.289,2023-03-19,2023,3,0,1,477.8326270069865,30.0,22.987959400602122,12.164097
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Kamianska Sloboda,52.264,33.289,2023-03-20,2023,3,0,1,477.8326270069865,30.0,22.987959400602122,12.164097
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Kamianska Sloboda,52.264,33.289,2023-04-10,2023,4,0,1,477.8326270069865,30.0,22.987959400602122,12.164097
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Kamianska Sloboda,52.264,33.289,2023-04-11,2023,4,0,1,477.8326270069865,30.0,22.987959400602122,12.164097
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Kolos,52.3379,33.3141,2023-02-17,2023,2,0,1,483.36702620354663,30.0,23.02256683251741,10.716688
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Kolos,52.3379,33.3141,2023-03-14,2023,3,0,1,483.36702620354663,30.0,23.02256683251741,10.717676
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Krasnyi Khutir,52.2865,33.0317,2023-01-29,2023,1,0,1,490.6295334368637,30.0,23.06798038432038,9.469302
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Krasnyi Khutir,52.2865,33.0317,2023-01-30,2023,1,0,1,490.6295334368637,30.0,23.06798038432038,9.469302
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Mykhalchyna-Sloboda,52.3128,33.2108,2023-01-04,2023,1,0,1,485.3752576378032,30.0,23.035124606209333,10.391761
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Mykhalchyna-Sloboda,52.3128,33.2108,2023-01-23,2023,1,0,1,485.3752576378032,30.0,23.035124606209333,10.391761
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Mykhalchyna-Sloboda,52.3128,33.2108,2023-01-24,2023,1,0,1,485.3752576378032,30.0,23.035124606209333,10.3906145
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Mykhalchyna-Sloboda,52.3128,33.2108,2023-01-25,2023,1,0,1,485.3752576378032,30.0,23.035124606209333,10.3906145
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Mykhalchyna-Sloboda,52.3128,33.2108,2023-02-22,2023,2,0,1,485.3752576378032,30.0,23.035124606209333,10.391673
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Mykhalchyna-Sloboda,52.3128,33.2108,2023-02-23,2023,2,0,1,485.3752576378032,30.0,23.035124606209333,10.3906145
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Mykhalchyna-Sloboda,52.3128,33.2108,2023-02-24,2023,2,0,1,485.3752576378032,30.0,23.035124606209333,10.3906145
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Mykhalchyna-Sloboda,52.3128,33.2108,2023-03-13,2023,3,0,1,485.3752576378032,30.0,23.035124606209333,10.3906145
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Mykhalchyna-Sloboda,52.3128,33.2108,2023-03-14,2023,3,0,1,485.3752576378032,30.0,23.035124606209333,10.3906145
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Mykhalchyna-Sloboda,52.3128,33.2108,2023-03-21,2023,3,0,1,485.3752576378032,30.0,23.035124606209333,10.3906145
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Mykhalchyna-Sloboda,52.3128,33.2108,2023-03-22,2023,3,0,1,485.3752576378032,30.0,23.035124606209333,10.3906145
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Novhorod-Siverskyi,51.9984,33.2651,2023-01-09,2023,1,0,1,455.7690305052778,30.0,22.849992407868058,14.980757
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Novhorod-Siverskyi,51.9984,33.2651,2023-02-15,2023,2,0,1,455.7690305052778,30.0,22.849992407868058,14.980923
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Novhorod-Siverskyi,51.9984,33.2651,2023-03-04,2023,3,0,1,455.7690305052778,30.0,22.849992407868058,14.980923
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Novhorod-Siverskyi,51.9984,33.2651,2023-03-30,2023,3,0,1,455.7690305052778,30.0,22.849992407868058,14.980757
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Novhorod-Siverskyi,51.9984,33.2651,2023-04-05,2023,4,0,1,455.7690305052778,30.0,22.849992407868058,14.980757
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Pecheniuhy,52.0535,33.0111,2023-04-04,2023,4,2,1,471.7149328990898,30.033333333333335,23.233271694281505,12.384114
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Popivka,52.0337,32.8591,2023-03-02,2023,3,0,1,477.00039891525824,30.0,22.9827553529721,12.174675
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Popivka,52.0337,32.8591,2023-03-31,2023,3,0,1,477.00039891525824,30.0,22.9827553529721,12.174675
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Yasna Polyana,52.3168,33.1485,2023-01-01,2023,1,0,1,488.32084704690806,30.0,23.053543820527906,10.066356
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Yasna Polyana,52.3168,33.1485,2023-01-25,2023,1,0,1,488.32084704690806,30.0,23.053543820527906,10.066356
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Yasna Polyana,52.3168,33.1485,2023-04-08,2023,4,0,1,488.32084704690806,30.0,23.053543820527906,10.066356
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Yasna Polyana,52.3168,33.1485,2023-04-09,2023,4,0,1,488.32084704690806,30.0,23.053543820527906,10.066356
Chernihiv,Novhorod-Siverskyi,Semenivska,Arkhypivka,52.2355,32.8243,2023-03-14,2023,3,0,1,495.34944570013374,30.0,23.097494706742,9.0281925
Chernihiv,Novhorod-Siverskyi,Semenivska,Arkhypivka,52.2355,32.8243,2023-03-22,2023,3,0,1,495.34944570013374,30.0,23.097494706742,9.0281925
Chernihiv,Novhorod-Siverskyi,Semenivska,Arkhypivka,52.2355,32.8243,2023-03-23,2023,3,0,1,495.34944570013374,30.0,23.097494706742,9.0281925
Chernihiv,Novhorod-Siverskyi,Semenivska,Arkhypivka,52.2355,32.8243,2023-04-12,2023,4,0,1,495.34944570013374,30.0,23.097494706742,9.0281925
Chernihiv,Novhorod-Siverskyi,Semenivska,Baranivka,52.0647,32.3002,2023-02-28,2023,2,0,1,506.0730519064412,30.0,23.164551031826356,8.459944
Chernihiv,Novhorod-Siverskyi,Semenivska,Baranivka,52.0647,32.3002,2023-03-01,2023,3,0,1,506.0730519064412,30.0,23.164551031826356,8.459944
Chernihiv,Novhorod-Siverskyi,Semenivska,Baranivka,52.0647,32.3002,2023-03-31,2023,3,0,1,506.0730519064412,30.0,23.164551031826356,8.459944
Chernihiv,Novhorod-Siverskyi,Semenivska,Bleshnya,52.1266,32.3454,2023-03-25,2023,3,0,1,508.7148219515387,30.0,23.181070417892393,8.349148
Chernihiv,Novhorod-Siverskyi,Semenivska,Bleshnya,52.1266,32.3454,2023-03-27,2023,3,0,1,508.7148219515387,30.0,23.181070417892393,8.350575
Chernihiv,Novhorod-Siverskyi,Semenivska,Bleshnya,52.1266,32.3454,2023-03-30,2023,3,0,1,508.7148219515387,30.0,23.181070417892393,8.349148
Chernihiv,Novhorod-Siverskyi,Semenivska,Bleshnya,52.1266,32.3454,2023-04-08,2023,4,0,1,508.7148219515387,30.0,23.181070417892393,8.349148
Chernihiv,Novhorod-Siverskyi,Semenivska,Bleshnya,52.1266,32.3454,2023-04-11,2023,4,0,1,508.7148219515387,30.0,23.181070417892393,8.349148
Chernihiv,Novhorod-Siverskyi,Semenivska,Bleshnya,52.1266,32.3454,2023-04-26,2023,4,0,1,508.7148219515387,30.0,23.181070417892393,8.350575
