admin1,admin2,admin3,location,latitude,longitude,year,month,casualties,num_events,min_distance_to_battlefront,hazard_score,pca_hazard_score,hazard_score_tsne
Chernihiv,Novhorod-Siverskyi,Semenivska,Karpovychi,52.2177,32.3804,2023,4,0,4,514.2796130038051,23.47826086956522,20.97569478298115,7.3008084
Chernihiv,Novhorod-Siverskyi,Semenivska,Kostobobriv,52.2314,32.9145,2023,4,0,1,491.0062083423762,20.869565217391305,20.05205244268187,3.7143528
Chernihiv,Novhorod-Siverskyi,Semenivska,Leonivka,52.2583,32.8443,2023,1,0,5,496.38266774117864,39.34782608695652,36.28083637487617,7.6915674
Chernihiv,Novhorod-Siverskyi,Semenivska,Leonivka,52.2583,32.8443,2023,2,0,3,496.38266774117864,22.608695652173914,20.666731434300534,6.7543545
Chernihiv,Novhorod-Siverskyi,Semenivska,Leonivka,52.2583,32.8443,2023,3,0,1,496.38266774117864,20.869565217391305,20.052626493724894,3.4337904
Chernihiv,Novhorod-Siverskyi,Semenivska,Leonivka,52.2583,32.8443,2023,4,0,11,496.38266774117864,54.565217391304344,48.123151196603104,20.136768
Chernihiv,Novhorod-Siverskyi,Semenivska,Medvedivka,52.2937,32.4603,2023,2,0,1,516.693115193956,20.869565217391305,20.05479506465228,2.0304391
Chernihiv,Novhorod-Siverskyi,Semenivska,Medvedivka,52.2937,32.4603,2023,3,0,1,516.693115193956,20.869565217391305,20.05479506465228,2.0304391
Chernihiv,Novhorod-Siverskyi,Semenivska,Medvedivka,52.2937,32.4603,2023,4,0,1,516.693115193956,20.869565217391305,20.05479506465228,2.0305042
Chernihiv,Novhorod-Siverskyi,Semenivska,Mykhailove,52.2647,32.542,2023,1,0,1,510.55628990699614,20.869565217391305,20.05413982842793,2.2041452
Chernihiv,Novhorod-Siverskyi,Semenivska,Mykolaivka,52.2417,32.6379,2023,1,0,4,504.27240754069567,23.47826086956522,20.974626301605635,7.21146
Chernihiv,Novhorod-Siverskyi,Semenivska,Mykolaivka,52.2417,32.6379,2023,4,0,2,504.27240754069567,21.73913043478261,20.360521361029996,2.83047
Chernihiv,Novhorod-Siverskyi,Semenivska,Oleksandrivka,52.184,32.914,2023,3,0,1,487.020901252913,20.869565217391305,20.0516269266458,3.908239
Chernihiv,Novhorod-Siverskyi,Semenivska,Oleksandrivka,52.184,32.914,2023,4,0,1,487.020901252913,20.869565217391305,20.0516269266458,3.908239
Chernihiv,Novhorod-Siverskyi,Semenivska,Orlykivka,52.0689,32.4119,2023,4,0,1,500.9653764396894,20.869565217391305,20.053115795050005,3.15825
Chernihiv,Novhorod-Siverskyi,Semenivska,Semenivka,52.1783,32.5818,2023,1,0,3,501.65964254691346,22.608695652173914,20.66729486325378,6.8567047
Chernihiv,Novhorod-Siverskyi,Semenivska,Semenivka,52.1783,32.5818,2023,2,2,4,501.65964254691346,23.490053322395408,21.079599145359122,7.1835303
Chernihiv,Novhorod-Siverskyi,Semenivska,Semenivka,52.1783,32.5818,2023,3,0,3,501.65964254691346,22.608695652173914,20.66729486325378,6.8567142
Chernihiv,Novhorod-Siverskyi,Semenivska,Semenivka,52.1783,32.5818,2023,4,0,4,501.65964254691346,23.47826086956522,20.9743473335416,7.181368
Chernihiv,Novhorod-Siverskyi,Semenivska,Tymonovychi,52.2958,32.4303,2023,1,0,2,518.2519186362655,21.73913043478261,20.362013970260364,2.707527
Chernihiv,Novhorod-Siverskyi,Semenivska,Tymonovychi,52.2958,32.4303,2023,2,0,7,518.2519186362655,41.08695652173913,36.897276321699465,8.111283
Chernihiv,Novhorod-Siverskyi,Semenivska,Tymonovychi,52.2958,32.4303,2023,3,0,6,518.2519186362655,40.21739130434783,36.59022385141164,7.980944
Chernihiv,Novhorod-Siverskyi,Semenivska,Yanzhulivka,52.2935,32.56,2023,1,0,1,512.100026036229,20.869565217391305,20.05430465499304,2.1586578
Chernihiv,Novhorod-Siverskyi,Semenivska,Yanzhulivka,52.2935,32.56,2023,2,0,6,512.100026036229,40.21739130434783,36.58956700643214,7.992359
